Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
59,Chris Boucher\bouchch01,C,28,TOR,55,10,1305,263,509,.517,80,209,.383,183,300,.610,.595,138,176,.784,105,254,359,58,32,107,41,150,744
60,Brian Bowen\bowenbr02,SF,22,IND,5,0,12,1,3,.333,0,0,,1,3,.333,.333,1,1,1.000,0,2,2,0,0,0,0,1,3
61,Avery Bradley\bradlav01,SG,30,TOT,19,3,413,51,123,.415,25,71,.352,26,52,.500,.516,10,13,.769,5,35,40,30,11,2,16,43,137
61,Avery Bradley\bradlav01,SG,30,MIA,10,1,211,31,66,.470,16,38,.421,15,28,.536,.591,7,9,.778,2,16,18,14,7,1,9,26,85
61,Avery Bradley\bradlav01,SG,30,HOU,9,2,202,20,57,.351,9,33,.273,11,24,.458,.430,3,4,.750,3,19,22,16,4,1,7,17,52
62,Tony Bradley\bradlto01,C,23,TOT,29,8,466,84,128,.656,0,3,.000,84,125,.672,.656,19,28,.679,59,110,169,27,9,22,19,45,187
62,Tony Bradley\bradlto01,C,23,PHI,20,8,287,51,75,.680,0,1,.000,51,74,.689,.680,7,11,.636,39,65,104,17,6,13,6,28,109
62,Tony Bradley\bradlto01,C,23,OKC,9,0,179,33,53,.623,0,2,.000,33,51,.647,.623,12,17,.706,20,45,65,10,3,9,13,17,78
63,Jarrell Brantley\brantja01,PF,24,UTA,18,0,79,15,30,.500,7,18,.389,8,12,.667,.617,2,2,1.000,6,13,19,5,3,1,2,12,39
64,Ignas Brazdeikis\brazdig01,SF,22,TOT,5,0,15,0,4,.000,0,1,.000,0,3,.000,.000,2,2,1.000,1,3,4,1,0,0,1,0,2
64,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,0,7,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,1,2,1,0,0,1,0,2
64,Ignas Brazdeikis\brazdig01,SF,22,PHI,1,0,8,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,2,2,0,0,0,0,0,0
65,Mikal Bridges\bridgmi01,SF,24,PHO,54,54,1730,261,500,.522,92,227,.405,169,273,.619,.614,83,101,.822,62,185,247,119,49,47,43,86,697
66,Miles Bridges\bridgmi02,PF,22,CHO,53,7,1462,211,420,.502,74,194,.381,137,226,.606,.590,70,80,.875,68,239,307,107,34,37,85,111,566
67,Oshae Brissett\brissos01,SF,22,IND,3,0,6,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,2,2,0,1,0,0,0,2
68,Malcolm Brogdon\brogdma01,PG,28,IND,47,47,1653,379,824,.460,126,315,.400,253,509,.497,.536,118,137,.861,42,185,227,277,47,10,97,93,1002
69,Armoni Brooks\brookar01,SG,22,HOU,2,0,17,5,8,.625,4,7,.571,1,1,1.000,.875,0,0,,0,2,2,0,0,0,1,0,14
70,Dillon Brooks\brookdi01,SF,25,MEM,49,49,1444,303,739,.410,93,272,.342,210,467,.450,.473,106,128,.828,39,104,143,116,59,18,88,168,805
71,Bruce Brown\brownbr01,PG,24,BRK,50,31,1098,172,322,.534,11,45,.244,161,277,.581,.551,63,84,.750,81,162,243,78,43,18,43,110,418
