Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
266,Kevin Knox\knoxke01,SF,21,NYK,35,0,12.5,1.5,3.8,.403,1.0,2.4,.405,0.6,1.4,.400,.530,0.4,0.5,.778,0.3,1.3,1.6,0.5,0.3,0.2,0.5,1.0,4.5
267,John Konchar\konchjo01,SG,24,MEM,29,0,14.0,1.3,3.0,.437,0.4,1.2,.361,0.9,1.8,.490,.511,0.6,0.8,.818,0.8,2.1,3.0,1.2,0.9,0.2,0.5,1.1,3.7
268,Furkan Korkmaz\korkmfu01,SG,23,PHI,43,6,19.1,3.1,7.7,.406,1.8,4.7,.373,1.3,2.9,.460,.521,1.2,1.7,.726,0.3,1.8,2.1,1.2,0.9,0.2,0.9,1.2,9.2
269,Luke Kornet\kornelu01,PF-C,25,TOT,19,0,9.4,1.1,2.8,.389,0.6,2.0,.316,0.5,0.8,.563,.500,0.1,0.3,.400,0.3,1.6,1.9,0.5,0.1,0.7,0.2,0.4,2.9
269,Luke Kornet\kornelu01,PF,25,CHI,13,0,7.2,0.7,2.1,.333,0.5,1.8,.261,0.2,0.3,.750,.444,0.2,0.3,.500,0.1,1.1,1.2,0.3,0.2,0.5,0.1,0.1,2.0
269,Luke Kornet\kornelu01,C,25,BOS,6,0,14.2,2.0,4.5,.444,1.0,2.5,.400,1.0,2.0,.500,.556,0.0,0.2,.000,0.8,2.7,3.5,1.0,0.0,1.2,0.3,1.2,5.0
270,Rodions Kurucs\kurucro01,SF-PF,22,TOT,18,0,6.3,0.4,1.5,.296,0.2,1.0,.222,0.2,0.5,.444,.370,0.1,0.1,.500,0.3,0.9,1.2,0.6,0.4,0.2,0.6,0.6,1.2
270,Rodions Kurucs\kurucro01,PF,22,BRK,5,0,3.2,0.2,0.6,.333,0.2,0.4,.500,0.0,0.2,.000,.500,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6
270,Rodions Kurucs\kurucro01,SF,22,HOU,11,0,6.8,0.5,1.9,.238,0.2,1.4,.133,0.3,0.5,.500,.286,0.1,0.2,.500,0.2,0.8,1.0,0.4,0.5,0.4,0.8,0.6,1.2
270,Rodions Kurucs\kurucro01,SF,22,MIL,2,0,11.0,1.0,1.5,.667,0.5,0.5,1.000,0.5,1.0,.500,.833,0.0,0.0,,1.5,2.5,4.0,2.0,1.0,0.0,0.5,1.5,2.5
271,Kyle Kuzma\kuzmaky01,SF,25,LAL,52,22,28.2,4.9,11.4,.432,2.0,5.8,.347,2.9,5.6,.521,.520,1.0,1.4,.676,1.8,4.8,6.7,1.6,0.4,0.6,1.8,1.7,12.8
272,Anthony Lamb\lamban01,SF,23,HOU,10,0,12.2,0.7,3.5,.200,0.3,2.0,.150,0.4,1.5,.267,.243,0.3,0.4,.750,1.3,1.6,2.9,0.3,0.1,0.1,0.3,1.4,2.0
273,Jeremy Lamb\lambje01,SG,28,IND,33,8,21.0,3.2,7.5,.425,1.4,3.5,.393,1.8,3.9,.454,.518,2.1,2.2,.946,0.7,2.9,3.6,1.4,0.9,0.6,0.6,1.9,9.9
274,Romeo Langford\langfro01,SG,21,BOS,6,1,13.3,1.0,3.0,.333,0.5,1.2,.429,0.5,1.8,.273,.417,0.5,0.5,1.000,1.0,1.3,2.3,0.3,0.3,0.2,0.5,0.8,3.0
275,Zach LaVine\lavinza01,SG,25,CHI,52,52,35.2,9.8,19.4,.506,3.4,8.2,.414,6.4,11.2,.573,.593,4.5,5.3,.847,0.6,4.5,5.1,5.0,0.8,0.5,3.6,2.3,27.5
276,Jake Layman\laymaja01,SF,26,MIN,39,11,15.1,2.2,4.4,.500,0.5,1.8,.292,1.6,2.5,.653,.562,0.6,0.9,.714,0.3,1.3,1.6,0.7,0.7,0.4,0.6,1.0,5.5
277,Jalen Lecque\lecquja01,PG,20,IND,4,0,3.0,0.3,2.3,.111,0.0,0.3,.000,0.3,2.0,.125,.111,0.8,0.8,1.000,0.5,0.8,1.3,0.5,0.0,0.0,0.0,0.0,1.3
278,Damion Lee\leeda03,SG,28,GSW,53,1,18.8,2.2,4.8,.447,1.3,3.5,.386,0.8,1.3,.606,.586,0.8,0.8,.909,0.4,2.7,3.1,1.3,0.7,0.1,0.5,1.5,6.4
279,Saben Lee\leesa01,PG,21,DET,32,7,15.4,2.0,4.3,.478,0.2,0.4,.500,1.8,3.8,.475,.504,1.4,2.2,.657,0.5,1.5,1.9,3.3,0.6,0.3,1.0,1.6,5.7
280,Alex Len\lenal01,C,27,TOT,45,23,15.6,2.6,4.3,.613,0.2,0.5,.318,2.5,3.8,.651,.631,1.1,1.9,.600,1.0,2.8,3.8,0.9,0.3,1.1,0.9,2.0,6.6
280,Alex Len\lenal01,C,27,TOR,7,2,10.9,0.7,1.4,.500,0.4,0.9,.500,0.3,0.6,.500,.650,0.4,0.9,.500,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
280,Alex Len\lenal01,C,27,WAS,38,21,16.4,3.0,4.8,.620,0.1,0.4,.250,2.9,4.4,.655,.630,1.3,2.1,.608,1.2,3.0,4.2,0.9,0.3,1.1,0.8,2.1,7.4
281,Kawhi Leonard\leonaka01,SF,29,LAC,45,45,34.6,9.4,18.3,.515,2.0,5.0,.395,7.5,13.4,.560,.568,5.1,5.8,.878,1.2,5.4,6.6,5.0,1.7,0.4,2.0,1.7,26.0
282,Meyers Leonard\leoname01,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3
283,Caris LeVert\leverca01,SG,26,TOT,29,21,30.8,6.9,15.9,.431,1.7,5.3,.310,5.2,10.6,.492,.483,2.6,3.3,.800,0.7,3.8,4.5,5.1,1.4,0.5,1.9,1.9,18.0
283,Caris LeVert\leverca01,SG,26,BRK,12,4,27.8,7.3,16.7,.435,1.8,5.3,.349,5.4,11.4,.474,.490,2.2,2.8,.765,0.8,3.5,4.3,6.0,1.1,0.5,2.2,1.7,18.5
