,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
36,29,Desmond Bane\banede01,SG,22,MEM,48,11,22.4,3.6,7.5,0.475,1.8,3.9,0.454,1.8,3.7,0.497,0.591,0.6,0.8,0.811,0.4,2.8,3.1,1.5,0.7,0.2,1.0,1.9,9.5
37,30,Harrison Barnes\barneha02,PF,28,SAC,51,51,36.2,5.3,10.9,0.487,1.5,4.1,0.36,3.8,6.8,0.565,0.556,3.4,4.2,0.825,1.2,5.6,6.7,3.5,0.8,0.2,1.5,1.3,15.5
38,31,RJ Barrett\barrerj01,SG,20,NYK,55,55,34.0,6.5,14.5,0.45,1.4,3.7,0.378,5.1,10.9,0.474,0.497,3.0,4.1,0.735,1.0,4.7,5.7,3.0,0.8,0.3,2.0,2.6,17.4
39,32,Will Barton\bartowi01,SF,30,DEN,51,47,31.4,4.7,10.9,0.432,1.7,4.5,0.379,3.0,6.4,0.469,0.511,1.6,2.0,0.779,0.7,3.4,4.2,3.2,0.9,0.4,1.7,1.7,12.8
40,33,Keita Bates-Diop\bateske01,SF,25,SAS,17,0,7.2,0.8,2.1,0.371,0.3,0.9,0.333,0.5,1.2,0.4,0.443,0.4,0.6,0.7,0.3,0.9,1.2,0.4,0.4,0.1,0.1,0.4,2.2
41,34,Nicolas Batum\batumni01,SF,32,LAC,53,38,28.4,3.0,6.5,0.466,1.8,4.3,0.419,1.2,2.2,0.56,0.605,0.8,1.0,0.843,0.8,4.1,5.0,2.3,1.1,0.5,0.8,1.6,8.6
42,35,Aron Baynes\baynear01,C,34,TOR,50,31,18.2,2.4,5.6,0.431,0.4,1.9,0.237,2.0,3.8,0.527,0.47,0.5,0.7,0.73,1.7,3.4,5.1,0.9,0.3,0.4,0.9,2.3,5.8
43,36,Kent Bazemore\bazemke01,SF,31,GSW,52,3,17.4,2.3,5.1,0.442,1.0,2.4,0.4,1.3,2.7,0.479,0.536,0.7,1.0,0.704,0.4,2.6,3.0,1.6,0.9,0.5,1.1,2.2,6.2
44,37,Darius Bazley\bazleda01,PF,20,OKC,38,38,30.8,4.4,11.2,0.396,1.5,5.1,0.297,2.9,6.0,0.48,0.465,1.5,2.2,0.687,0.6,6.8,7.4,1.6,0.5,0.6,1.9,0.9,11.9
45,38,Bradley Beal\bealbr01,SG,27,WAS,44,44,35.3,10.9,22.5,0.485,2.2,6.4,0.344,8.7,16.1,0.541,0.534,6.9,7.8,0.894,1.2,3.7,4.8,4.8,1.2,0.4,3.3,2.4,31.0
46,39,Malik Beasley\beaslma01,SG,24,MIN,37,36,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,0.547,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6
47,40,Jordan Bell\belljo01,C,26,WAS,3,1,16.7,1.7,5.0,0.333,0.0,0.7,0.0,1.7,4.3,0.385,0.333,0.0,0.0,,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
48,41,DeAndre' Bembry\bembrde01,SF,26,TOR,37,11,18.2,2.2,4.0,0.544,0.2,0.9,0.273,1.9,3.1,0.621,0.574,0.7,1.1,0.667,0.6,2.0,2.6,2.0,0.8,0.4,1.2,1.6,5.3
49,42,Dāvis Bertāns\bertada01,PF,28,WAS,40,5,24.5,3.3,8.2,0.402,2.9,7.3,0.396,0.4,0.9,0.457,0.579,1.6,1.9,0.867,0.4,2.6,3.0,0.9,0.6,0.2,0.6,2.5,11.1
50,43,Patrick Beverley\beverpa01,PG,32,LAC,31,31,23.4,2.6,6.1,0.432,1.7,4.0,0.416,1.0,2.1,0.462,0.568,1.1,1.3,0.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8.0
51,44,Saddiq Bey\beysa01,SF,21,DET,52,35,25.1,3.6,8.8,0.411,2.3,6.0,0.382,1.3,2.8,0.473,0.541,1.6,1.8,0.884,0.5,3.4,4.0,1.3,0.7,0.1,0.8,1.7,11.2
52,45,Tyler Bey\beyty01,SF,22,DAL,11,0,3.5,0.4,1.1,0.333,0.0,0.1,0.0,0.4,1.0,0.364,0.333,0.2,0.4,0.5,0.5,0.7,1.2,0.1,0.0,0.1,0.0,0.4,0.9
53,46,Khem Birch\birchkh01,C,28,TOT,50,5,19.9,2.0,4.4,0.461,0.1,0.5,0.217,1.9,3.9,0.49,0.473,1.3,1.8,0.722,2.4,2.7,5.1,1.1,0.7,0.6,0.5,1.4,5.4
54,46,Khem Birch\birchkh01,C,28,ORL,48,5,19.8,2.0,4.4,0.45,0.1,0.4,0.19,1.9,3.9,0.479,0.459,1.3,1.8,0.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3
55,46,Khem Birch\birchkh01,C,28,TOR,2,0,21.5,3.5,5.0,0.7,0.5,1.0,0.5,3.0,4.0,0.75,0.75,1.0,2.5,0.4,2.5,3.5,6.0,0.0,1.0,0.5,1.0,1.0,8.5
56,47,Goga Bitadze\bitadgo01,C,21,IND,34,1,11.0,1.9,4.1,0.464,0.4,1.4,0.245,1.5,2.6,0.584,0.507,0.7,1.0,0.714,1.3,1.7,3.0,0.7,0.2,1.2,0.4,1.9,4.9
57,48,Bismack Biyombo\biyombi01,C,28,CHO,49,29,21.2,2.3,3.9,0.581,0.0,0.0,0.0,2.3,3.9,0.584,0.581,0.8,1.7,0.482,2.0,3.2,5.3,1.3,0.3,1.1,1.0,2.3,5.4
58,49,Nemanja Bjelica\bjeline01,PF,32,TOT,33,1,15.8,2.4,5.3,0.448,0.6,2.2,0.27,1.8,3.0,0.58,0.506,1.0,1.4,0.733,0.8,2.7,3.5,1.8,0.3,0.1,0.9,1.9,6.3
59,49,Nemanja Bjelica\bjeline01,PF,32,SAC,26,1,16.9,2.7,5.8,0.46,0.7,2.2,0.293,2.0,3.5,0.565,0.517,1.2,1.6,0.762,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2
60,49,Nemanja Bjelica\bjeline01,PF,32,MIA,7,0,11.6,1.3,3.4,0.375,0.4,2.3,0.188,0.9,1.1,0.75,0.438,0.1,0.4,0.333,0.1,2.0,2.1,1.3,0.3,0.3,0.4,2.0,3.1
61,50,Eric Bledsoe\bledser01,SG,31,NOP,53,52,30.2,4.2,10.2,0.408,1.8,5.2,0.352,2.3,5.0,0.466,0.497,1.8,2.5,0.72,0.4,3.0,3.4,3.8,0.7,0.3,1.6,1.6,11.9
62,51,Keljin Blevins\blevike01,SF,25,POR,10,0,5.1,0.2,1.4,0.143,0.0,0.5,0.0,0.2,0.9,0.222,0.143,0.0,0.0,,0.0,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.4
63,52,Bogdan Bogdanović\bogdabo01,SG,28,ATL,30,13,27.3,5.0,11.1,0.452,2.7,6.5,0.41,2.4,4.6,0.511,0.572,0.9,1.0,0.9,0.6,3.0,3.6,2.9,0.8,0.3,1.1,2.1,13.6
64,53,Bojan Bogdanović\bogdabo02,SF,31,UTA,55,55,30.4,5.0,11.9,0.419,2.4,6.2,0.384,2.6,5.7,0.457,0.519,2.9,3.3,0.867,0.6,3.4,4.0,1.8,0.5,0.1,1.4,1.6,15.2
65,54,Bol Bol\bolbo01,PF,21,DEN,22,2,5.1,0.9,1.8,0.487,0.4,0.9,0.474,0.5,0.9,0.5,0.603,0.2,0.4,0.556,0.0,0.7,0.7,0.3,0.1,0.4,0.4,0.5,2.4
66,55,Marques Bolden\boldema01,C,22,CLE,6,0,4.8,0.2,0.5,0.333,0.0,0.0,,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
67,56,Jordan Bone\bonejo01,PG,23,ORL,14,0,14.0,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0.0,0.0,,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
68,57,Isaac Bonga\bongais01,SF,21,WAS,33,7,11.2,0.8,2.1,0.382,0.4,1.2,0.308,0.4,0.9,0.483,0.471,0.1,0.2,0.5,0.5,1.3,1.8,0.6,0.3,0.2,0.5,1.6,2.0
69,58,Devin Booker\bookede01,SG,24,PHO,50,50,33.8,9.4,19.2,0.49,2.1,5.9,0.352,7.3,13.3,0.55,0.543,4.9,5.6,0.862,0.4,3.8,4.2,4.5,0.9,0.3,3.3,2.9,25.7
