

************** COLLEY Rating Method **************
===========================
Rank   Rating    Team   
 299   0.22414   VMI
 300   0.21864   Lafayette
 301   0.21358   E_Illinois
 302   0.21132   Wagner
 303   0.20316   St_Francis_NY
 304   0.20190   Elon
 305   0.19822   Alabama_St
 306   0.18984   Idaho
 307   0.18378   Citadel
 308   0.18341   Longwood
 309   0.18277   Jacksonville_St
 310   0.18086   Alcorn_St
 311   0.17716   Delaware
 312   0.17471   LIU_Brooklyn
 313   0.16864   Cent_Arkansas
 314   0.16529   East_Carolina
 315   0.15814   UC_Davis
 316   0.15161   UC_Riverside
 317   0.15121   Texas_St
 318   0.14761   TN_Martin
 319   0.14501   Radford
 320   0.13366   Bethune-Cookman
 321   0.13179   UT_San_Antonio
 322   0.13100   Howard
 323   0.12603   St_Francis_PA
 324   0.11949   S_Dakota_St
 325   0.11878   W_Illinois
 326   0.11823   W_Salem_St
 327   0.11481   Prairie_View
 328   0.10030   Charleston_So
 329   0.09625   Alabama_A&M
 330   0.07461   Denver
 331   0.07077   St_Peter's
 332   0.06435   NJIT
 333   0.05399   N_Colorado
 334   0.04151   Iona
 335   -0.00111   North_Florida
 336   -0.00384   MD_E_Shore
